0.00
29,847.56
19,197.36
85,244.38
-77,695.27
140,727.39
-2,375.95
-56,471.03
-164,335.31
167,291.00
-18,717.79
-160,459.38
39,115.46
165,250.45
40,960.08
-333,913.18
315,042.15
19,636.89
6,694.29
-355,601.48
-8,239.01
419,709.85
-488,956.89
1,209,843.21
-181,416.77
-228,499.03
-246,673.02
171,333.82
-217,095.11
-29,354.61
-426,307.45
553,102.92
34,001.03
-8,936.89
162,040.64
-286,090.29
102,062.17
-56,073.75
226,076.82
-731,568.29
578,503.07
165,176.57
265,491.92
98,011.57
-292,295.15
277,255.24
-263,319.75
633,585.92
43,921.91
-380,775.13
422,353.65
344,040.71
-307,840.45
100,420.55
-44,574.54
154,803.68
-502,053.11
225,396.44
74,419.91
-161,341.65
319,437.62
-114,556.30
-326,199.60
617,561.78
-104,284.18
-73,726.57
270,861.96
744,575.75
-1,247,955.96
1,072,926.01
-385,453.85
-706,921.55
757,185.04
585,295.12
-379,546.12
284,214.05
968,186.87
-386,179.93
152,765.56
802,691.00
887,322.11
51,467.10
148,040.25
-2,660,822.09
-861,975.86
684,761.98
1,033,714.18
-678,712.98
1,211,138.51
2,383,102.32
2,526,132.84
284,603.36
190,805.46
-4,834,979.81
486,964.51
-2,052,906.25
723,384.84
-459,882.78
186,875.68
1,444,635.14
