0.00
-754,737.30
-1,395,837.28
1,759,454.35
-966,259.55
303,054.08
2,216,096.64
-2,321,397.25
844,469.23
1,057,093.12
409,206.17
-4,819,745.27
4,964,730.15
1,106,898.14
205,694.16
-1,411,078.26
216,414.54
-1,228,040.57
2,392,352.51
1,157,873.36
-1,547,190.77
-213,299.12
-491,066.37
-243,911.28
-826,482.73
1,219,340.44
1,082,213.77
-2,425,532.95
-1,349,614.62
821,286.24
1,713,995.40
-505,468.10
973,193.61
-3,364,134.04
1,442,735.91
-563,355.47
3,485,077.83
2,445,222.57
-151,125.74
-1,393,194.35
-3,133,726.99
3,762,300.49
-2,031,963.45
1,405,753.57
837,367.57
-619,708.07
862,722.36
-441,051.83
881,298.15
-2,409,036.97
3,749,049.99
-186,978.45
-1,603,851.33
1,119,834.96
-188,899.77
-1,067,179.68
-1,214,305.11
1,244,409.04
-994,425.17
262,994.58
-409,392.63
2,870,493.01
-853,712.54
-2,917,405.63
2,987,377.40
-2,375,237.88
1,826,687.02
897,576.12
-988,378.57
745,411.74
446,730.92
-2,544,310.28
1,545,457.43
919,252.65
1,112,492.65
887,470.21
-1,864,981.69
-2,259,607.98
4,352,089.61
-5,857,937.26
2,990,486.70
2,225,293.65
-655,708.40
-1,386,732.27
-281,363.57
1,099,538.55
1,760,809.82
-776,843.54
2,828,964.22
12,776,221.67
-6,599,863.35
3,533,599.88
2,784,119.69
-14,926,482.45
427,049.56
-125,612.94
-898,863.17
1,002,681.04
-2,626,927.42
374,875.21
